"CountryName","intl_travel.CountryCode","intl_travel.Date","International.Travel","intl_travel.PolicyValue","intl_travel.Flag","intl_travel.Notes","intl_travel.region","intl_travel.value","dom_move.CountryCode","dom_move.Date","Domestic.Movement","dom_move.PolicyValue","dom_move.Flag","dom_move.Notes","dom_move.region","dom_move.value","stayhome.CountryCode","stayhome.Date","Stay.Home","stayhome.PolicyValue","stayhome.Flag","stayhome.Notes","stayhome.region","stayhome.value","gathering.CountryCode","gathering.Date","Gathering.Restrictions","gathering.PolicyValue","gathering.Flag","gathering.Notes","gathering.region","gathering.value","public_transport.CountryCode","public_transport.Date","Public.Transport","public_transport.PolicyValue","public_transport.Flag","public_transport.Notes","public_transport.region","public_transport.value","Current","Change"
"Moldova","MDA",20201130,"C8: International travel controls",3,NA,"Effective September 1, foreigners coming from “red zone” countries are not permitted into Moldova unless they meet an exception.    https://web.archive.org/web/20201205214717/https://md.usembassy.gov/u-s-citizen-services/covid-19-information/","moldova","ban arrivals from some regions","MDA",20201130,"C7: Restrictions on internal movement",1,"Regional","No change in policy.      https://web.archive.org/web/20201205224452/https://reliefweb.int/sites/reliefweb.int/files/resources/UN%20Moldova%20Covid-19%20Response%20and%20Recovery%20Monlty%20Update-%20November%202020.pdf  https://web.archive.org/web/20201205214717/https://md.usembassy.gov/u-s-citizen-services/covid-19-information/","moldova","recommend not to travel between regions","MDA",20201130,"C6: Stay at home requirements",1,"Regional","The National Extraordinary Public Health Commission (CNESP) has ruled to establish emergency state in the public health sector all over Moldova on the period 30 November 2020 – 15 January 2021:  People over 63 years old have restrictions on movement.      https://web.archive.org/web/20201205215306/https://gov.md/en/content/national-extraordinary-public-health-commission-declares-state-emergency-public-health-all   https://web.archive.org/web/20201205214717/https://md.usembassy.gov/u-s-citizen-services/covid-19-information/","moldova","recommend not leaving house","MDA",20201130,"C4: Restrictions on gatherings",4,"National","The National Extraordinary Public Health Commission (CNESP) has ruled to establish emergency state in the public health sector all over Moldova on the period 30 November 2020 – 15 January 2021:  Groups of more than three people are prohibited in public areas. Public parks are open, but people should not congregate in groups larger than three.    https://web.archive.org/web/20201205215306/https://gov.md/en/content/national-extraordinary-public-health-commission-declares-state-emergency-public-health-all   https://web.archive.org/web/20201205214717/https://md.usembassy.gov/u-s-citizen-services/covid-19-information/","moldova","restrictions on gatherings of <= 10 people","MDA",20201130,"C5: Close public transport",0,NA,"The National Extraordinary Public Health Commission (CNESP) has ruled to establish emergency state in the public health sector all over Moldova on the period 30 November 2020 – 15 January 2021:  At the same time, the timetable of travel of the public transport, including the number of transport units, will be adjusted according to the needs in the peak hours.  Drivers, taxators and passengers will be obliged to wear protective masks during the travel.      https://web.archive.org/web/20201205215306/https://gov.md/en/content/national-extraordinary-public-health-commission-declares-state-emergency-public-health-all   https://web.archive.org/web/20201205214717/https://md.usembassy.gov/u-s-citizen-services/covid-19-information/","moldova","no measures",14179,-26.68
"Monaco","MCO",20200511,"C8: International travel controls",3,NA,"In phase 2 reopening, the international travel policy remains the same.    http://web.archive.org/web/20201208140324/https://en.gouv.mc/Policy-Practice/Coronavirus-Covid-2019/Actualites/Lifting-the-lockdown-in-the-Principality-step-by-step      ","monaco","ban arrivals from some regions","MCO",20200602,"C7: Restrictions on internal movement",0,NA,"","monaco","no measures","MCO",20200511,"C6: Stay at home requirements",1,"National","In phase 2 reopening, it is recommended to stay at home.    http://web.archive.org/web/20201208140324/https://en.gouv.mc/Policy-Practice/Coronavirus-Covid-2019/Actualites/Lifting-the-lockdown-in-the-Principality-step-by-step      ","monaco","recommend not leaving house","MCO",20200511,"C4: Restrictions on gatherings",3,"National","In phase 2 reopening, the restrictions on gatherings policy remains the same.    http://web.archive.org/web/20201208140324/https://en.gouv.mc/Policy-Practice/Coronavirus-Covid-2019/Actualites/Lifting-the-lockdown-in-the-Principality-step-by-step    ","monaco","restrictions on gatherings between 11-100 people","MCO",20200511,"C5: Close public transport",1,"National","In phase 2 reopening, the public transport policy remains the same.    http://web.archive.org/web/20201208140324/https://en.gouv.mc/Policy-Practice/Coronavirus-Covid-2019/Actualites/Lifting-the-lockdown-in-the-Principality-step-by-step      ","monaco","recommend closing/ significantly reduce volume",65,-29.68
"Mongolia","MNG",20201112,"C8: International travel controls",4,NA,"The border crossings and ports of entry at Altanbulag and Selenge close completely.  https://archive.vn/gQ3kv#selection-2287.0-2287.83","mongolia","ban on all regions/total border closure","MNG",20201124,"C7: Restrictions on internal movement",2,"Regional","In the provinces, travel to and from Uvs, Selenge, Khenti, Zavkhan, Dornod, Bayan-Ulgii, Khovd, Gobisumber, Darkhan-Uul and Erdenet aimags is suspended.    https://archive.vn/0NGLd#selection-785.684-793.76","mongolia","restrictions in place","MNG",20201124,"C6: Stay at home requirements",2,"National","The Government of Mongolia has extended the nation-wide all-out readiness until 1 December 2020. During the strict lock-down the public is urged to refrain from all non-essential movement.  All non-essential movements are prohibited beyond the timeframe 7.00-10.00 and 17.00-20.00.   Pedestrians and vehicles are stopped by the police to check the purpose of their movement.    https://archive.vn/0NGLd#selection-785.684-793.76","mongolia","require not leaving house except for essentials","MNG",20201124,"C4: Restrictions on gatherings",4,"National","Restricted unnecessary public movement and mass gathering  https://archive.vn/F9Tcp","mongolia","restrictions on gatherings of <= 10 people","MNG",20201112,"C5: Close public transport",1,"Regional","Public transportation’s operating hours in Ulaanbaatar remain restricted: 0600 – 1000 and 1700 – 2100.    https://archive.vn/gQ3kv","mongolia","recommend closing/ significantly reduce volume",509,142.51
"Morocco","MAR",20201122,"C8: International travel controls",3,NA,"Air travel to and from Morocco remains restricted to specific categories of travelers - citizens and residents of Morocco, as well as foreign nationals of visa-exempt countries (which includes U.S. citizens); a negative COVID-19 PCR test is also required. See https://web.archive.org/web/20201129160809/https://ma.usembassy.gov/25161/","morocco","ban arrivals from some regions","MAR",20201122,"C7: Restrictions on internal movement",2,"Regional"," In Casablanca, there is an evening curfew between the hours of 9:00 pm and 6:00 am.  Those who circulate within Casablanca during these hours must have proper authorization from local authorities. See: https://web.archive.org/web/20201129160809/https://ma.usembassy.gov/25161/","morocco","restrictions in place","MAR",20201122,"C6: Stay at home requirements",2,"Regional","Individuals entering or departing from the Casablanca city limits must have a letter of permission issued by Moroccan authorities. There is a curfew in Casablanca between the hours of 9:00 pm and 6:00 am. See https://web.archive.org/web/20201129160809/https://ma.usembassy.gov/25161/","morocco","require not leaving house except for essentials","MAR",20201122,"C4: Restrictions on gatherings",3,"Regional","Large gatherings continue to be banned and wedding parties are not allowed in Morocco. The government also extended the state of health emergency until December 10. See https://web.archive.org/web/20201129160809/https://ma.usembassy.gov/25161/","morocco","restrictions on gatherings between 11-100 people","MAR",20201122,"C5: Close public transport",1,"National","Note: To travel between cities on public transportation, travelers must obtain authorization from the local authorities. Masks are required on all public transportation.","morocco","recommend closing/ significantly reduce volume",39999,-8.84
"Mozambique","MOZ",20201114,"C8: International travel controls",2,NA,"No policy change","mozambique","quarantine arrivals from some/ all regions","MOZ",20201114,"C7: Restrictions on internal movement",0,NA,"No policy change","mozambique","no measures","MOZ",20201114,"C6: Stay at home requirements",0,NA,"No policy change","mozambique","no measures","MOZ",20201114,"C4: Restrictions on gatherings",3,"National","The SOPC (State of Public Calamity) will allow for the gradual resumption of the following activities:  - Private social events are permitted with up to 40 attendees  - Religious services are permitted at 50 percent capacity, up to 150 attendees  - Public and private institutions can conduct operations in conformance with social distancing and preventative measures including temperature checks, regular cleaning of facilities, ventilation, prohibition of sick staff entering facilities, and a limit of 40 people for events  Link: https://web.archive.org/web/20201115131525/https://mz.usembassy.gov/covid-19-information/","mozambique","restrictions on gatherings between 11-100 people","MOZ",20201117,"C5: Close public transport",1,"National","Under the new guidelines governing public transport, operators are required to decontaminate surfaces and to enforce the wearing of face masks for passengers. Buses are only allowed to carry a few people to achieve social distancing.    Link: https://web.archive.org/web/20201124013816/https://www.africanews.com/2020/11/17/mozambique-has-covid-19-under-control-who/","mozambique","recommend closing/ significantly reduce volume",1800,-0.99
"Myanmar","MMR",20201201,"C8: International travel controls",4,NA,"No change","myanmar","ban on all regions/total border closure","MMR",20201201,"C7: Restrictions on internal movement",2,"Regional","Due to the recent outbreak in Rakhine State, travelers from Rakhine State to Yangon and other locations may be required to conduct a 14-day quarantine upon arrival (14 days in a government facility including two PCR nasal swab tests).  Only vehicles transporting people for one of the permitted activities are allowed to pass through other townships, in addition to the passenger(s), only one driver is allowed in a vehicle for the permitted activities.  http://web.archive.org/web/20201109171739/https://mm.usembassy.gov/covid-19-information/","myanmar","restrictions in place","MMR",20201201,"C6: Stay at home requirements",2,"Regional","The Burmese government announced stay-at-home orders for all of Yangon Region (except for Coco Island), effective at 8:00 AM on September 21.  Residents of Yangon Region must abide by the following orders: 1.) stay at home unless going to/from work, 2.) employees of private organizations and businesses must telework (those working in banking and finance, gas stations, food and refrigeration services, production and manufacturing of pharmaceutical products, medical equipment production, and the distribution of drinking water and personal hygiene items are exempt).  http://web.archive.org/web/20201109171739/https://mm.usembassy.gov/covid-19-information/","myanmar","require not leaving house except for essentials","MMR",20201201,"C4: Restrictions on gatherings",3,"National","The Burmese government imposed a nationwide ban on gatherings of 30 or more people.  http://web.archive.org/web/20201109171739/https://mm.usembassy.gov/covid-19-information/","myanmar","restrictions on gatherings between 11-100 people","MMR",20201201,"C5: Close public transport",1,"Regional","No change","myanmar","recommend closing/ significantly reduce volume",18862,13.71
"Namibia","NAM",20201209,"C8: International travel controls",2,NA,"Regulation 9 of Government Notice No. 309 of 1 December 2020 (https://web.archive.org/save/https://mhss.gov.na/documents/119527/807189/%237404-Gov+N309.pdf/64204cca-544c-4af0-ad05-e89eb6808254)","namibia","quarantine arrivals from some/ all regions","NAM",20201209,"C7: Restrictions on internal movement",1,"National","https://web.archive.org/save/https://mhss.gov.na/covid-19-regulations-documents","namibia","recommend not to travel between regions","NAM",20201209,"C6: Stay at home requirements",1,"National","https://web.archive.org/save/https://mhss.gov.na/covid-19-regulations-documents","namibia","recommend not leaving house","NAM",20201209,"C4: Restrictions on gatherings",2,"National","Government Notice No. 309 of 1 December 2020 (https://web.archive.org/save/https://mhss.gov.na/documents/119527/807189/%237404-Gov+N309.pdf/64204cca-544c-4af0-ad05-e89eb6808254) did not change Regulation 4 of Government Notice No. 256 of 21 October 2020 (https://web.archive.org/save/https://aviation.wfscorp.com/sites/default/files/2020-11/Namibia%20Government%20Gazette%20N256%20Amended%20COVID19%20General%20Regulations%20Public%20and%20Environmental%20Health%20Act%20of%2021%20October%202020.pdf) which prohibits gatherings of more than 200 persons    https://web.archive.org/save/https://mhss.gov.na/covid-19-regulations-documents","namibia","restrictions on gatherings between 101-1000 people","NAM",20201209,"C5: Close public transport",1,"National","Government Notice No. 309 of 1 December 2020 (https://web.archive.org/save/https://mhss.gov.na/documents/119527/807189/%237404-Gov+N309.pdf/64204cca-544c-4af0-ad05-e89eb6808254) did not change Regulation 10 of Government Notice No. 256 of 21 October 2020 (https://web.archive.org/save/https://aviation.wfscorp.com/sites/default/files/2020-11/Namibia%20Government%20Gazette%20N256%20Amended%20COVID19%20General%20Regulations%20Public%20and%20Environmental%20Health%20Act%20of%2021%20October%202020.pdf) which sets out public transport requirements    https://web.archive.org/save/https://mhss.gov.na/covid-19-regulations-documents","namibia","recommend closing/ significantly reduce volume",1141,23.12
"Nepal","NPL",20201122,"C8: International travel controls",3,NA,"Limited commercial flight service has resumed.  Except as described above, foreign citizens are currently prohibited entry into Nepal.  Domestic flights have resumed, including full seating capacity. Each flight will operate under strict COVID mitigation measures.    https://web.archive.org/web/20201020230202/https://np.usembassy.gov/covid-19-information-2/","nepal","ban arrivals from some regions","NPL",20201122,"C7: Restrictions on internal movement",1,"National","The government of Nepal loosened the lockdown in the Kathmandu Valley. However, the government implemented an alternating day even/odd system for the movement of private vehicles based on the last number of the vehicle’s license plate.  Limited long-range public bus transportation  is allowed to operate at 50% capacity and is subject to strict COVID mitigation measures.  The government announced that trekking routes may be opened beginning October 17. Travelers must present negative PCR test results to be eligible for trekking and may be subject to quarantine.    https://web.archive.org/web/20201020230202/https://np.usembassy.gov/covid-19-information-2/","nepal","recommend not to travel between regions","NPL",20201122,"C6: Stay at home requirements",1,"National","The Government of Nepal has authorized local authorities to impose lockdowns within their jurisdictions. Limited lockdowns in Pokhara and many towns in the Terai remain possible.  If you must travel locally, please inquire about local conditions.    https://web.archive.org/web/20201020230202/https://np.usembassy.gov/covid-19-information-2/","nepal","recommend not leaving house","NPL",20201122,"C4: Restrictions on gatherings",3,"National","Old one - The Nepal government has, as a precautionary measures, restricted public gatherings of more than 25 people at one place, it said. In line with this decision, people will not be allowed to gather in large numbers at public venues.    https://web.archive.org/web/20201022085359if_/https://www.deccanherald.com/international/coronavirus-nepal-restricts-mass-gathering-closes-down-public-places-815086.html","nepal","restrictions on gatherings between 11-100 people","NPL",20201122,"C5: Close public transport",1,"National","Old one - Public transportation, including taxis and buses, and some long distance buses, may operate at  50% occupancy  Masks are required when outdoors, including while on public transport and  taxis    https://web.archive.org/web/20201020230202/https://np.usembassy.gov/covid-19-information-2/","nepal","recommend closing/ significantly reduce volume",12686,-46.24
"Netherlands","NLD",20201122,"C8: International travel controls",3,NA,"""While it is strongly advised not to travel to the Netherlands (except if it's strictly necessary), the borders remain open to certain countries, specifically those in EU and those from ""Australia, Japan, New Zealand, Rwanda, Singapore, South Korea, Thailand, Uruguay, and China (once China starts readmitting European travellers)."" ""If you do travel to the Netherlands, you are strongly advised to self-quarantine for 10 days."" Further, there are exemptions to the entry ban, including those with economic interests, elite athletes and support staff, cultural and creative sectors, professional journalists, and researchers.  https://web.archive.org/web/20201130222612/https://www.government.nl/topics/coronavirus-covid-19/tackling-new-coronavirus-in-the-netherlands/travel-and-holidays/visiting-the-netherlands  https://web.archive.org/web/20201123225841/https://www.government.nl/topics/coronavirus-covid-19/tackling-new-coronavirus-in-the-netherlands/travel-and-holidays/visiting-the-netherlands-exemptions-to-the-entry-ban","netherlands","ban arrivals from some regions","NLD",20201122,"C7: Restrictions on internal movement",0,NA,"""Are there restrictions on intercity or interstate travel? NO""    https://web.archive.org/web/*/https://nl.usembassy.gov/covid-19-information-3/","netherlands","no measures","NLD",20201122,"C6: Stay at home requirements",1,"National","""The Dutch government asks residents and visitors to comply with the measures in place to fight the spread of COVID-19:  maintain social distance (stay 1.5 meters apart), wash hands, sneeze and cough into your elbow, use paper tissues, stay at home as much as possible, avoid non-essential travel, and get tested at the first sign of symptoms""    https://web.archive.org/web/*/https://nl.usembassy.gov/covid-19-information-3/","netherlands","recommend not leaving house","NLD",20201122,"C4: Restrictions on gatherings",4,"National","""A maximum of 3 guests are permitted in private residences in both indoor and outdoor areas per day. This is in addition to the members of the household.  Guests should also be asked whether they have any symptoms and if they do, should not be received.  Guests should maintain 1.5-meter distance from each other.""  https://web.archive.org/web/*/https://nl.usembassy.gov/covid-19-information-3/  https://web.archive.org/web/20201130214530/https://www.rijksoverheid.nl/onderwerpen/coronavirus-covid-19/vraag-en-antwoord/persconferentie-coronavirus-17-november-in-eenvoudige-taal","netherlands","restrictions on gatherings of <= 10 people","NLD",20201122,"C5: Close public transport",0,NA,"""Is public transportation operating? YES   Non-surgical face masks are mandatory on public transport including trains, trams, buses, taxis, and passenger vans.  An advance reservation and completion of a health questionnaire are required for taxis and passenger vans.  On all other types of transport (such as canal/river boats) passengers must maintain 1.5-meter distance.""    https://web.archive.org/web/*/https://nl.usembassy.gov/covid-19-information-3/  https://web.archive.org/web/20201130214530/https://www.rijksoverheid.nl/onderwerpen/coronavirus-covid-19/vraag-en-antwoord/persconferentie-coronavirus-17-november-in-eenvoudige-taal","netherlands","no measures",562727,15.96
"New Zealand","NZL",20201119,"C8: International travel controls",4,NA,"No policy change    As of 30 November, the New Zealand borders are closed to almost all travellers.  The travel ban applies to all arrivals into New Zealand whether by air or sea. Only citizens or residents of New Zealand with valid travel conditions may enter New Zealand. Individuals who are not citizens or residents of New Zealand must obtain approval from Immigration New Zealand before travelling to New Zealand.      https://web.archive.org/web/20201129205649/https://covid19.govt.nz/travel-and-the-border/travel-to-new-zealand/","new zealand","ban on all regions/total border closure","NZL",20201119,"C7: Restrictions on internal movement",0,NA,"No policy change    As of 30 November, all of New Zealand remains at Alert Level 1.  No current restrictions on travel between different regions of New Zealand.    https://web.archive.org/web/20201129204848/https://covid19.govt.nz/travel-and-the-border/travel-within-new-zealand/regional-travel/","new zealand","no measures","NZL",20201119,"C6: Stay at home requirements",0,NA,"No policy change    As of 30 November, all of New Zealand remains at Alert Level 1.  No stay at home measures are in place. Individuals can leave their house and gather with as many people as they want. Individuals are encouraged to wear face coverings when they cannot maintain physical distance from people they do not know.    https://web.archive.org/web/20201129204218/https://covid19.govt.nz/travel-and-the-border/travel-within-new-zealand/leaving-your-house/","new zealand","no measures","NZL",20201119,"C4: Restrictions on gatherings",0,NA,"No policy change    As of 30 November, all of New Zealand remains at Alert Level 1.  There is no limit on the number of people who can attend a social gathering or event or enter a public facility.    https://web.archive.org/web/20201129202418/https://covid19.govt.nz/everyday-life/gatherings-and-events/","new zealand","no restrictions","NZL",20201119,"C5: Close public transport",0,NA,"No policy change    As of 30 November, all of New Zealand remains at Alert Level 1.  Public transport remains open. Individuals are encouraged to use face coverings on public transport. Public transport operators legally must display QR code posters.    http://web.archive.org/web/20201129203310/https://covid19.govt.nz/travel-and-the-border/travel-within-new-zealand/local-travel/","new zealand","no measures",55,21.22
"Nicaragua","NIC",20201129,"C8: International travel controls",1,NA,"No policy change.    https://web.archive.org/web/20201205093541/https://www.gov.uk/foreign-travel-advice/nicaragua/coronavirus","nicaragua","screening arrivals","NIC",20201129,"C7: Restrictions on internal movement",0,NA,"No policy change.    https://web.archive.org/web/20201205093541/https://www.gov.uk/foreign-travel-advice/nicaragua/coronavirus","nicaragua","no measures","NIC",20201129,"C6: Stay at home requirements",0,NA,"No policy change.    https://web.archive.org/web/20201205093541/https://www.gov.uk/foreign-travel-advice/nicaragua/coronavirus","nicaragua","no measures","NIC",20201129,"C4: Restrictions on gatherings",0,NA,"No policy change.    https://web.archive.org/web/20201205093541/https://www.gov.uk/foreign-travel-advice/nicaragua/coronavirus","nicaragua","no restrictions","NIC",20201129,"C5: Close public transport",0,NA,"No policy change.    https://web.archive.org/web/20201205093541/https://www.gov.uk/foreign-travel-advice/nicaragua/coronavirus","nicaragua","no measures",1500,8.69
"Niger","NER",20201130,"C8: International travel controls",2,NA,"The Embassy of the United States in Niger; A rapid COVID-19 test and a nasal swab may be taken from passengers upon arrival and passengers will be encouraged to self-quarantine at a precise address.  Niger will fine airlines for boarding passengers who do not have a valid certificate of a negative test result taken within the previous 72 hours.  All people testing positive for COVID-19 at the airports will be led automatically to a governmental quarantine site.  Foreign nationals who refuse a COVID-19 test at the airport will be denied entry into Niger and turned back to the airlines.  Nigerien nationals who refuse a test at the airport will have their passports seized by the Nigerien police.    Please see:   https://web.archive.org/web/20201206204921/https://ne.usembassy.gov/u-s-citizen-services/covid-19-information/  ","niger","quarantine arrivals from some/ all regions","NER",20201130,"C7: Restrictions on internal movement",0,NA,"The US Embassy in Niger confirms that there are no inter-state travel bans neither are there any other restrictions. Please see: https://web.archive.org/web/20201206204921/https://ne.usembassy.gov/u-s-citizen-services/covid-19-information/","niger","no measures","NER",20201130,"C6: Stay at home requirements",0,NA,"Thus far, Nigeriens have gone about their activities while observing social distancing measures.","niger","no measures","NER",20201130,"C4: Restrictions on gatherings",0,NA,"There is no known restriction to the number of people allowed to gather in Niger. ","niger","no restrictions","NER",20201130,"C5: Close public transport",0,NA,"It is required to wear a mask while taking public transport. Please see: https://web.archive.org/web/20201206204921/https://ne.usembassy.gov/u-s-citizen-services/covid-19-information/","niger","no measures",669,235.03
"Nigeria","NGA",20201124,"C8: International travel controls",2,NA,"Testing / Screening on arrival  Prior to departure, passengers travelling to Nigeria must complete the on-line pre-boarding health declaration at the Nigeria International Travel Portal. They must also have tested negative for COVID-19 within 120 hours of their departure to Nigeria, and have uploaded their PCR test certificate to the on-line Travel Portal. Passengers must also carry evidence of the test and result when they travel. Only a COVID-19 PCR test is acceptable to the Nigerian authorities. Also before travel, passengers must book and pay for a repeat PCR test for day 7 of their arrival in Nigeria at the Nigeria International Travel Portal– evidence of the booking will be required on arrival. On arrival all passengers will be screened by Port Health Officials and be required to provide full contact details, including their address in Nigeria.    You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test.    Quarantine requirements  All new arrivals are expected to self-isolate at one location in the city of their arrival until the result of their second PCR test (which should be taken on day 7 of arrival) is known. If the second test is negative individuals can exit self-isolation from day 8 onwards. Anyone that has developed symptoms of coronavirus during their travel or later tests positive will be managed according to national guidelines for COVID-19 treatment. This may require quarantine at a government-monitored treatment centre.  Source: http://web.archive.org/web/20201205151219/https://www.gov.uk/foreign-travel-advice/nigeria/entry-requirements","nigeria","quarantine arrivals from some/ all regions","NGA",20201124,"C7: Restrictions on internal movement",1,"National","No new update","nigeria","recommend not to travel between regions","NGA",20201124,"C6: Stay at home requirements",2,"National","No new update  Source: http://web.archive.org/web/20201205152753/https://covid19.ncdc.gov.ng/advisory/","nigeria","require not leaving house except for essentials","NGA",20201124,"C4: Restrictions on gatherings",3,"National","Public spaces and services  Gatherings of over 50 people outside of work places are prohibited. Places of worship are permitted to hold services, subject to limitations set by state authorities.    Visits to public institutions, including government buildings, have been limited.  Source: http://web.archive.org/web/20201205151815/https://www.gov.uk/foreign-travel-advice/nigeria/coronavirus","nigeria","restrictions on gatherings between 11-100 people","NGA",20201124,"C5: Close public transport",0,NA,"No new update","nigeria","no measures",3903,8.8
"Norway","NOR",20201127,"C8: International travel controls",2,NA,"People entering Norway needs to stay at a quarantine hotel. Furthermore, travelers arriving from countries with high infection (red countries) must present a negative Covid-19 test certificate on arrival in Norway.  https://web.archive.org/web/20201202155636/https://www.regjeringen.no/en/topics/koronavirus-covid-19/Questions-and-answers-coronavirus-situation-in-Norway/the-coronavirus-situation-questions-and-answers-aboutentering-norway/id2703365/","norway","quarantine arrivals from some/ all regions","NOR",20201127,"C7: Restrictions on internal movement",1,"National","Nochange","norway","recommend not to travel between regions","NOR",20201127,"C6: Stay at home requirements",1,"National","Nochange","norway","recommend not leaving house","NOR",20201127,"C4: Restrictions on gatherings",3,"National","Nochange","norway","restrictions on gatherings between 11-100 people","NOR",20201127,"C5: Close public transport",0,NA,"No change","norway","no measures",20804,30.42
"Oman","OMN",20201117,"C8: International travel controls",2,NA,"No new changes reported between 17th Nov and 30th Nov  Link - https://web.archive.org/web/20201124060648/https://www.omanobserver.om/category/coronavirus/  https://web.archive.org/web/20201130162123/https://gulfnews.com/world/gulf/oman","oman","quarantine arrivals from some/ all regions","OMN",20201117,"C7: Restrictions on internal movement",0,NA,"No new changes reported between 17th Nov and 30th Nov  Link - https://web.archive.org/web/20201124060648/https://www.omanobserver.om/category/coronavirus/  https://web.archive.org/web/20201130162123/https://gulfnews.com/world/gulf/oman","oman","no measures","OMN",20201117,"C6: Stay at home requirements",0,NA,"No new changes reported between 17th Nov and 30th Nov  Link - https://web.archive.org/web/20201124060648/https://www.omanobserver.om/category/coronavirus/  https://web.archive.org/web/20201130162123/https://gulfnews.com/world/gulf/oman","oman","no measures","OMN",20201117,"C4: Restrictions on gatherings",4,"National","No new changes reported between 17th Nov and 30th Nov  Link - https://web.archive.org/web/20201124060648/https://www.omanobserver.om/category/coronavirus/  https://web.archive.org/web/20201130162123/https://gulfnews.com/world/gulf/oman","oman","restrictions on gatherings of <= 10 people","OMN",20201117,"C5: Close public transport",0,NA,"No new changes reported between 17th Nov and 30th Nov  Link - https://web.archive.org/web/20201124060648/https://www.omanobserver.om/category/coronavirus/  https://web.archive.org/web/20201130162123/https://gulfnews.com/world/gulf/oman","oman","no measures",7151,-8.08
"Pakistan","PAK",20201117,"C8: International travel controls",2,NA,"Symptomatic travelers will be required to take a COVID-19 RT-PCR test and its results submitted to the designated Pakistani authorities within 48 hours of arrival. In cases found positive for COVID-19 based on a test upon arrival, travelers may be required to comply with isolation procedures.  Source: https://web.archive.org/web/20201129214352/https://pk.usembassy.gov/covid-19-information/  ","pakistan","quarantine arrivals from some/ all regions","PAK",20201016,"C7: Restrictions on internal movement",0,NA,"Non restrictions on intercity or interstate travel are currently in place.    Source: http://web.archive.org/web/20201026191411/https://pk.usembassy.gov/covid-19-information/","pakistan","no measures","PAK",20201025,"C6: Stay at home requirements",3,"Regional","""The Office of the Deputy Commissioner of Islamabad announced that more streets would be closed on the night October 25  for being identified as covid hot spots.""    ""Only people with jobs in essential services and with negative covid certificate will be allowed to leave. Health teams will complete TTQ and give clearance for opening up. ACs will coord for making sure all arrangements are in place. Stay Safe Islamabad. Second wave is here.""    Source: http://web.archive.org/web/20201027223859/https://www.facebook.com/ictaofficial/posts/2480727608894017","pakistan","require not leaving house with min exceptions","PAK",20201120,"C4: Restrictions on gatherings",4,"Regional","Targeted lockdowns across the country are preventing public events or gatherings.  The local government in Pakistan Administered Kashmir, aka Azaad Kashmir, imposed a strict 15-day lockdown starting on Nov 20 2020. As per the Geo New article: ""Public gatherings, including weddings, have been banned.""  Similarly, in ""Khyber Pakhtunkhwa: All major public gathering have been banned. Legal action will be taken in case of violations.""   Such reporting suggests that public events in targeted/specific regions within the country have be halted/banned. source: https://web.archive.org/web/20201129201909/https://www.geo.tv/latest/320263-what-are-the-covid-19-restrictions-in-pakistan    In general, the Pakistan Government issued guidance on public gatherings such as weddings for crowd sizes as small as 25 people. Broadly such guidance suggests that ""No indoor gatherings are permitted, and only outdoor wedding events are allowed, in which number of the guests must not exceed 300 individuals with mandatory arrangements for seating  of each individual at-least 6 feet apart. event timing should be restricted to 2 hours with closure evening timing at 10 PM"" Source: https://covid.gov.pk/new_guidelines/28November2020_20201127_Additional_Guidelines_for_Marriage_Events_Ceremonies_during_COVID_19_4505.pdf    Additionally, the guidelines provide clear space restrictions for specific crowd sizes. E.g. for a gathering of upto 25 people, there should be at least 900 sq feet of space; for crowds of upto 100 people a minimum of 3600 sq ft. is required.    While the guidance document is date Nov 27th 2020, it also states that ""These guidelines will be implemented from 20th November 2020 onwards in urban centers (Karachi, Lahore, Islamabad, Rawalpindi, Multan, Hyderabad, Gilgit,  Muzaffarabad, Mirpur, Peshawar, Quetta, Gujranwala, Gujrat, Faisalabad, Bahawalpur & Swat)"". ","pakistan","restrictions on gatherings of <= 10 people","PAK",20201117,"C5: Close public transport",0,NA,"Transportation Options:    Are commercial flights operating? [Yes]  Is public transportation operating? [Yes]  According to the Government of Pakistan, individuals using public transportation – trains or buses – should wear facemasks and keep a distance of at least six feet from other individuals.    Source: https://web.archive.org/web/20201129214352/https://pk.usembassy.gov/covid-19-information/","pakistan","no measures",45324,54.66
"Panama","PAN",20201119,"C8: International travel controls",1,NA,"No change","panama","screening arrivals","PAN",20201119,"C7: Restrictions on internal movement",0,NA,"Internal movement allowed https://web.archive.org/web/20201130142049/https://pa.usembassy.gov/covid-19-information/","panama","no measures","PAN",20201119,"C6: Stay at home requirements",1,"National","No change","panama","recommend not leaving house","PAN",20201119,"C4: Restrictions on gatherings",4,"National","No change, family seven or fewer  https://web.archive.org/web/20201130142049/https://pa.usembassy.gov/covid-19-information/","panama","restrictions on gatherings of <= 10 people","PAN",20201119,"C5: Close public transport",0,NA,"Remains open  https://web.archive.org/web/20201130142049/https://pa.usembassy.gov/covid-19-information/","panama","no measures",22055,10.75
