"CountryName","stayhome-CountryCode","stayhome-Date","Stay Home","stayhome-PolicyValue","stayhome-Flag","stayhome-Notes","stayhome-region","stayhome-value"
"Colombia","COL",20201123,"C6: Stay at home requirements",1,"National","The sanitary emergency will extend until February 28, 2021  Most economic activities are now allowed, as are international flights, but face masks are required in public. Concerts and other large events are banned.  https://web.archive.org/web/20201126081754/https://www.reuters.com/article/us-health-coronavirus-colombia-idUSKBN28600T","colombia","recommend not leaving house"
"Cape Verde","CPV",20201109,"C6: Stay at home requirements",1,"National","The islands of Santiago and Fogo are currently in a ‘state of calamity’. The remaining islands in the Cape Verde archipelago are in a ‘state of contingency’.    https://web.archive.org/web/20201123144618/https://www.gov.uk/foreign-travel-advice/cape-verde/coronavirus","cape verde","recommend not leaving house"
"Costa Rica","CRI",20201124,"C6: Stay at home requirements",1,"National","No updates here as per the Costa Rican Ministry of Health Facebook page.    https://web.archive.org/web/20201206060836/https://www.facebook.com/msaludcr/","costa rica","recommend not leaving house"
"Cuba","CUB",20201106,"C6: Stay at home requirements",0,NA,"""The easing of restrictions will apply to the majority of the country excluding Havana, Ciego de Avila, and Sancti Spiritus province. Under the easing of COVID-19 restrictions, international commercial passenger flights will be permitted to resume operations in 13 of the 16 territories, however, international travel will continue to be severely disrupted as Havana is the main international airport to Cuba.    Those traveling into any of the 13 territories open will be required to take a COVID-19 PCR test upon arrival and must declare their health status; travelers may await their test results at their hotels or homes. Additionally, face masks are mandatory in all public areas. Recreation and entertainment facilities will be subject to additional health protocols.""      No policy change. Policy remains same as above    https://web.archive.org/web/20201004195425/https://www.garda.com/crisis24/news-alerts/385211/cuba-authorities-lift-restrictions-in-havana-september-30-update-15","cuba","no measures"
"Cyprus","CYP",20201130,"C6: Stay at home requirements",2,"National","In a statement by the Minister of Health, Mr Constantinos Ioannou, on 27 November 2020 extraordinary measures were announced, which will come into effect on an island-wide basis as from 30 November to 13 December 2020. The movement of persons is prohibited from 9 at night until 5 in the morning of the next day, with the exception of movement for work reasons with the use of the Employee Movement Confirmation Form, or for movement to/from hospital, pharmacy, vet for emergency medical reasons.    https://web.archive.org/web/20201202162051/https://www.pio.gov.cy/en/press-releases-article.html?id=17077#flat","cyprus","require not leaving house except for essentials"
"Czech Republic","CZE",20201203,"C6: Stay at home requirements",1,"National","From the 3rd of November, third wave PES measures come into place. With the lifting of the night time curfew and opening of non-essential retail sectors, sports facilities, and allowing gatherings indoors, it is implied the shelter in place measures have been lifted.     https://web.archive.org/web/20201122224731/https://www.vlada.cz/en/media-centrum/aktualne/measures-adopted-by-the-czech-government-against-coronavirus-180545/","czech republic","recommend not leaving house"
"Germany","DEU",20201130,"C6: Stay at home requirements",1,"National","People are expected to stay within small groups (see below), wear a mask and keep distance, but there are currently no restrictions to only leave the house for necessary reasons.  Staying in public is only permitted with the members of your own household and of another household and has been limited to a maximum of 5 people since December 1st. Citizens are also asked to refrain from private trips and visits. From December 1st, private get-togethers with friends, relatives and acquaintances are only permitted with members of your own household and those of another household, a maximum of five people may come together.  https://web.archive.org/web/20201207221252/https://www.zusammengegencorona.de/en/inform/organising-everyday-life/","germany","recommend not leaving house"
"Djibouti","DJI",20201122,"C6: Stay at home requirements",0,NA,"Is a curfew in place? No  Restaurants, nightclubs, and the movie theater at Bawadi Mall are currently open.     https://web.archive.org/web/20201126110524/https://dj.usembassy.gov/covid-19-information/","djibouti","no measures"
"Dominica","DMA",20201201,"C6: Stay at home requirements",0,NA,"No changes found. ","dominica","no measures"
"Denmark","DNK",20201123,"C6: Stay at home requirements",1,"Regional","Starting from 23 November 2020, new measures have been implemented to contain the infection in Holstebro and Ringkøbing-Skjern municipalities. This is because a high incidence of infection has been found among people related to mink farms and fur series.    ""[R]esidents of the affected municipalities are encouraged to interact with as few people as possible.""    http://web-old.archive.org/web/20201124080425/https://coronasmitte.dk/anbefalinger-i-holstebro-og-ringkoebing-skjern    http://web-old.archive.org/web/20201124073155/https://coronasmitte.dk/overblik    ","denmark","recommend not leaving house"
